Лонг Фрэнк
Мартьянов Андрей
Дойль Артур Конан
Лонгфелло Генри
Макаренко Антон
Минаев Сергей
Кун Николай
Ладлэм Роберт
Докинз Ричард
Львовский Михаил
Мелвилл Герман
Модезитт Лиланд
Гойтисоло Хуан
Куин Эллери
Маляков Лев
Мележ Іван
Модиано Патрик
Грин Роберт
Куинн Джулия
Льоса Марио
Минделл Арнольд
Кук Глен
Голдовский Борис
Долгушин Юрий
Кук Робин
Долинго Борис
Коняев Николай
Кружков Григорий
Долматовский Евгений
Круз Андрей
Гринвуд Эд
Коуэлл Крессида
Круз Мелисса
Льюис Клайв Стейплз
Макбейн Эд
Голон Анн
Домнин Алексей
Куклин Лев
Голон Серж
Коппер Бэзил
Льюис Синклер
Минутко Игорь
Моисеева Клара
Горин Григорий
Кедров Константин
Линдсей Джек
Лоуэн Александр
Менегетти Антонио
Голотвина Ольга
Лавренёв Борис
Леви Марк
Голубев Глеб
Макдевит Джек
Гольдберг Исаак
Донн Джон
Лэкберг Камилла
Гришковец Евгений
Донцов Дмитрий
Кораблинов Владимир
Маршак Самуил
Мирбо Октав
Донченко Олесь
Коралов Емил
Макдональд Грегори
Мирер Александр
Ирвинг Джон
Лэмб Гарольд
Крусанов Павел
Макдональд Джордж
Громов Александр
Корепанов Алексей
Лагерквист Пер
Макдональд Йен
Гор Геннадий
Лота Владимир
Громов Дмитрий
Лэнгфорд Дэвид
Миронин Сигизмунд
Волвертон Дэйв
Драгунский Виктор
Кунин Владимир
Лофтинг Хью
Давенпорт Гай
Кавабата Ясунари
Леви Примо
Неверов Александр
Попов Валерий
Пронин Виктор
Сазанович Елена
Строгальщиков Виктор
Устинов Сергей
Чейз Джеймс
Дрю Карпишин
Мьевиль Чайна
Попович Иустин
Тальми Менахем
Дубинин Дмитрий
Сакс Оливер
Солженицын Александр
Шекли Роберт
Шмараков Роман
Лелевич Г.
Смирнов Сергей
Соллогуб Владимир
Стукалин Юрий
Тамаши Арон
Токмакова Ирина
Уилсон Колин
Чулков Георгий
Мордовцев Даниил
Обухова Лидия
Поповский Александр
Рыбаков Анатолий
Свенцицкий Валентин
Хилл Джо
Эдуард Лимонов
Ленина Лена
Перрюшо Анри
Стуруа Мэлор
Хуснутдинов Андрей
Каллентофт Монс
Леонард Элмор
Перумов Ник
Салиас Евгений
Свержин Владимир
Мориак Франсуа
Перуц Лео
Кузьмин Лев
Порджес Артур
Рыбаков Вячеслав
Салливан Майкл
Свет Яков
Сенкевич Генрик
Стэблфорд Брайан
Форш Ольга
Чепмен Гэри
Шелдон Сидни
Лепкий Богдан
Николаева Олеся
Старобинец Анна
Чеповецкий Ефим
Камиллери Андреа
Меттер Израиль
Рич Валентин
Толкиен Джон Рональд Руэл
Троппер Джонатан
Уэйс Маргарет
Хьелланн Александр
Мень Александр
Монтень Мишель
Романов Николай
Руссинович Марк
Сахновский Игорь
Такэмия Ююко
Фонкинос Давид
Чейз Лоретта
Шевченко Тарас
Шклярский Альфред
Мориц Юнна
Папченко Александр
По Эдгар
Ричардс Джастин
Рыбас Святослав
Салов Илья
Светлов Михаил
Смирнова Татьяна
Стюарт Пол
Чергинец Николай
Камю Альбер
Кукаркин Евгений
Петелин Виктор
По Эдгар Аллан
Романушко Мария
Уэллс Герберт
Хьюз Тед
Николов Любомир
Саломатов Андрей
Мороз Олег
Порудоминский Владимир
Хардвик Элизабет
Кулаковский Алексей
Петкявичюс Витаутас
Сальваторе Роберт
Стасюк Анджей
Фрадкин Борис
Шелли Мэри
Канович Григорий
Мидянин Василий
Сальгари Эмилио
Стаут Рекс
Уэлш Ирвин
Филдинг Генри
Хлебников Велимир
Черкашин Николай
Шелли Перси
Куликов Николай
Петрановская Людмила
Сепульведа Луис
Сташеф Кристофер
Уэльбек Мишель
Фрай Макс
Шолохов Михаил
Рыжков Владимир
Толстой Алексей Константинович
Трублаини Николай
Уильямсон Джек
Харитонов Евгений
Хлобустов Олег
Карабчиевский Юрий
Морозов Николай
Мюллер Хайнер
Погодин Радий
Постников Валентин
Ромов Анатолий
Трублаїні Микола
Уиндем Джон
Хлумов Владимир
Эксбрайя Шарль
Евтушенко Евгений
Караванова Наталья
Кункейро Альваро
Расин Жан
Ромэн Яров
Стейнбек Джон
Уэстлейк Дональд
Дональдсон Стивен
Платова Виктория
Романов Пантелеймон
Устинова Татьяна
Кунц Дин
Самарский Михаил
Шоу Бернард
Купала Янка
Милев Гео
Мюссе Альфред
Рысс Евгений
Стельмах Михайло
Суворов Виктор
Филенко Евгений
Шоу Боб
Миллар Маргарет
Самвелян Николай
Стельмах Ярослав
Томан Николай
Шагурин Николай
Шенгальц Игорь
Элиаде Мирча
Погуляй Юрий
Филипенко Саша
Хэнкок Грэм
Нилин Павел
Пушкин Александр
Филиппо Пол
Хэрриот Джеймс
Шайхов Ходжиакбар
Шенталинский Виталий
Кард Орсон Скотт
Куприянов Вячеслав
Росоховатский Игорь
Сергеев Дмитрий
Смит Лиза
Соломко Наталья
Трэверс Памела
Уитли Деннис
Карлов Борис
Мясников Александр
Нилус Сергей
Рассел Эрик
Робертс Чарльз
Франс Анатоль
Кураев Андрей
Милн Алан
Солонин Марк
Файн Энн
Шаламов Варлам
Куранов Юрий
Маклин Алистер
Озик Синтия
Свирский Григорий
Сергеев Марк
Солоух Сергей
Степанов Анатолий
Шер Барбара
Логинов Святослав
Моррис Десмонд
Ницше Фридрих
Пыляев Михаил
Свифт Джонатан
Солоухин Владимир
Харрис Джоэль
Шпанов Николай
Каганов Леонид
Мережко Виктор
Панов Вадим
Платонов Андрей
Романов Роман
Форд Джеффри
Чудинова Елена
Елизаров Михаил
Моррис Уильям
Пыхалов Игорь
Свияш Александр
Файнток Дэвид
Фрейд Зигмунд
Елинек Эльфрида
Набоков Владимир
Парсонс Тони
Почепцов Георгий
Рэнд Айн
Куртц Кэтрин
Минаев Дмитрий
Подольный Р.
Рэнкин Иэн
Фаллада Ганс
Кутилов Аркадий
Окуджава Булат
Подольный Роман
Пьюзо Марио
Тармашев Сергей
Томас Рид
Эллисон Харлан
Кучаев Андрей
Навои Алишер
Рауд Эно
Рюкер Руди
Тарн Алекс
Шрайер Вольфганг
Эллрой Джеймс
Наволочкин Николай
Петрович Горан
Самсонов Юрий
Элтанг Лена
Емец Дмитрий
Кучерская Майя
Ростовский Димитрий
Рябинин Борис
Скобелев Эдуард
Смолич Юрий
Цвейг Стефан
Моруа Андре
Новик Наоми
Петрушевская Людмила
Фриш Макс
Шамбаров Валерий
Кучкина Ольга
Нагибин Юрий
Новиков Александр
Пятигорский Александр
Рябов Гелий
Тарутин Олег
Томас Элиот
Хойл Фред
Шамир Исраэль
Касслер Клайв
Пратолини Васко
Севела Эфраим
Сорокин Владимир
Шамякин Иван
Шессе Жак
Левитин Михаил
Мухин Юрий
Сайкаку Ихара
Стросс Чарльз
Кастанеда Карлос
Кэмерон Джулия
Нагишкин Дмитрий
Петухов Юрий
Рот Филип
Ряжский Григорий
Фарланд Дэвид
Шестаков Евгений
Катаев Валентин
Новиков Владимир
Рязанов Алесь
Фармер Филип
Финней Джек
Хокинг Аманда
Катерли Нина
Ненацкий Збигнев
Пехов Алексей
Пратчетт Терри
Суслин Дмитрий
Митчелл Маргарет
Прашкевич Геннадий
Ротфусс Патрик
Рязанов Эльдар
Сутеев Владимир
Твардовский Александр
Чернышевский Николай
Наживин Иван
Рагимов Сулейман
Сандему Маргит
Твен Марк
Хассель Свен
Жапп Андреа
Назайкин Александр
Непомнящий Николай
Пол Фредерик
Штильмарк Роберт
Жапризо Себастьян
Соснора Виктор
Стивенсон Нил
Холдеман Джо
Кварри Ник
Назаров Михаил
Неруда Пабло
Стивенсон Роберт
Цирулис Гунар
Жвалевский Андрей
Малицкий Сергей
Несбит Эдит
Олеша Юрий
Полевой Николай
Саберхаген Фред
Сотник Юрий
Сухинов Сергей
Фаулер Карен
Фрэнсис Дик
Чертанов Максим
Жванецкий Михаил
Престон Дуглас
Резник Майк
Санжаровский Анатолий
Мухина- Петринская Валентина
Никитин Юрий
Саймак Клиффорд
Тодоров Петко
Эдигей Ежи
Несбё Ю.
Роулинг Джоан
Санин Владимир
Стил Даниэла
Фаулз Джон
Фуко Мишель
Жене Жан
Келлерман Бернгард
Лавкрафт Говард
Лукин Евгений
Най Джоди
Несвадба Йозеф
Софронов Анатолий
Феваль Поль
Функе Корнелия
Шаргунов Сергей
Жигжитов Михаил
Лавров Валентин
Мошковский Анатолий
Радичков Йордан
Роулэнд Лора
Сабо Иштван
Санин Евгений
Севриновский Владимир
Сухов Евгений
Фицджеральд Фрэнсис
Фурманов Дмитрий
Черчилль Уинстон
Мощанский Илья
Федин Константин
Фиш Роберт
Честертон Гилберт
Моэм Сомерсет
Найлз Дуглас
Нокс Рональд
Пик Мервин
Серова Марина
Стингл Милослав
Фишер Кэтрин
Фуэнтес Карлос
Шиллер Фридрих
Эндо Сюсаку
Лагздынь Гайда
Найман Анатолий
